Date,Country,City,Specie,count,min,max,median,variance
2018-12-31,ES,Madrid,pressure,216,1026.9,1032.5,1027.9,24.11
2019-01-20,ES,Madrid,pressure,216,1004.6,1017.7,1011.1,153.22
2019-01-26,ES,Madrid,pressure,216,1013.3,1022.0,1018.0,55.89
2019-01-29,ES,Madrid,pressure,216,1007.3,1017.0,1012.3,62.87
2019-02-27,ES,Madrid,pressure,216,1024.1,1029.5,1025.9,18.08
2019-03-03,ES,Madrid,pressure,216,1017.4,1026.0,1021.4,52.57
2019-01-07,ES,Madrid,pressure,216,1024.7,1030.5,1026.2,16.73
2019-01-21,ES,Madrid,pressure,216,1015.6,1022.3,1017.4,33.82
2019-02-04,ES,Madrid,pressure,216,1024.0,1031.2,1025.5,21.44
2019-02-08,ES,Madrid,pressure,216,1017.6,1024.0,1020.1,18.65
2019-02-25,ES,Madrid,pressure,216,1026.0,1033.0,1029.1,28.76
2019-03-14,ES,Madrid,pressure,216,1023.6,1031.0,1026.9,34.94
2019-03-23,ES,Madrid,pressure,216,1019.4,1027.0,1023.4,41.71
2019-01-06,ES,Madrid,pressure,174,1025.3,1032.1,1027.4,21.66
2019-01-22,ES,Madrid,pressure,194,1009.2,1022.0,1014.6,83.81
2019-03-07,ES,Madrid,pressure,216,1010.3,1018.0,1013.5,37.64
2019-03-30,ES,Madrid,pressure,216,1012.9,1023.0,1018.8,86.41
2019-02-17,ES,Madrid,pressure,216,1016.3,1025.0,1021.6,56.97
2019-02-18,ES,Madrid,pressure,216,1014.2,1020.0,1016.9,19.08
2019-03-18,ES,Madrid,pressure,216,1017.8,1025.5,1021.0,37.46
2019-03-19,ES,Madrid,pressure,216,1020.1,1026.5,1021.9,19.16
2019-03-25,ES,Madrid,pressure,216,1014.4,1023.0,1019.3,52.07
2019-02-07,ES,Madrid,pressure,216,1019.0,1024.0,1020.5,15.86
2019-02-21,ES,Madrid,pressure,216,969.2,1029.0,1025.2,866.59
2019-03-02,ES,Madrid,pressure,216,1020.9,1027.0,1022.1,24.39
2019-03-24,ES,Madrid,pressure,216,1018.0,1025.0,1021.1,29.00
2019-03-31,ES,Madrid,pressure,207,1009.6,1016.5,1012.0,25.12
2019-01-02,ES,Madrid,pressure,213,1023.1,1031.0,1026.0,35.36
2019-01-30,ES,Madrid,pressure,216,1003.1,1013.2,1009.1,57.42
2019-02-02,ES,Madrid,pressure,216,994.9,1018.3,1007.5,495.63
2019-02-22,ES,Madrid,pressure,216,1026.8,1033.0,1028.8,18.40
2019-03-01,ES,Madrid,pressure,216,1019.0,1026.0,1022.4,30.83
